*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Feb 20 16:10:50 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2017-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457754.500000000, A.D. 2017-Jan-01 00:00:00.0000, -2.686981972496827E+07,  1.446304615381982E+08, -5.488268685616553E+03, -2.978172179527926E+01, -5.560030296447631E+00,  1.372653397187396E-03,  4.906903309506894E+02,  1.471052604325407E+08, -2.664935111930915E-02,
2457755.500000000, A.D. 2017-Jan-02 00:00:00.0000, -2.943855977274424E+07,  1.441275109111027E+08, -5.365433205649257E+03, -2.967823488479606E+01, -6.081975509580481E+00,  1.461990924360723E-03,  4.906836483517512E+02,  1.471032570397791E+08, -1.968350609626092E-02,
2457756.500000000, A.D. 2017-Jan-03 00:00:00.0000, -3.199794079501168E+07,  1.435795641017440E+08, -5.237233640074730E+03, -2.956509910636207E+01, -6.601562483635239E+00,  1.495954434373115E-03,  4.906790138925459E+02,  1.471018676638624E+08, -1.242119390071743E-02,
2457757.500000000, A.D. 2017-Jan-04 00:00:00.0000, -3.454713513693820E+07,  1.429868365674032E+08, -5.108643625698984E+03, -2.944245874667088E+01, -7.118523338363202E+00,  1.470591304635338E-03,  4.906765256070597E+02,  1.471011216946404E+08, -4.775895679456247E-03,
2457758.500000000, A.D. 2017-Jan-05 00:00:00.0000, -3.708532894203082E+07,  1.423495660045861E+08, -4.984858912549913E+03, -2.931048861630379E+01, -7.632612437286692E+00,  1.384806101871749E-03,  4.906763054865458E+02,  1.471010557041704E+08,  3.331294618522149E-03,
2457759.500000000, A.D. 2017-Jan-06 00:00:00.0000, -3.961172468667467E+07,  1.416680100781044E+08, -4.871025796629488E+03, -2.916939136857201E+01, -8.143614682139917E+00,  1.240937648995022E-03,  4.906784964966352E+02,  1.471017125524707E+08,  1.196591958692900E-02,
2457760.500000000, A.D. 2017-Jan-07 00:00:00.0000, -4.212554338268402E+07,  1.409424433751794E+08, -4.771919000856578E+03, -2.901939221458589E+01, -8.651355153860880E+00,  1.045340581147247E-03,  4.906832576629474E+02,  1.471031399142223E+08,  2.117240187118041E-02,
2457761.500000000, A.D. 2017-Jan-08 00:00:00.0000, -4.462602614024071E+07,  1.401731534892046E+08, -4.691573623172939E+03, -2.886072903895239E+01, -9.155709350732053E+00,  8.088307658931093E-04,  4.906907566009695E+02,  1.471053880392844E+08,  3.096414524312300E-02,
2457762.500000000, A.D. 2017-Jan-09 00:00:00.0000, -4.711243460775589E+07,  1.393604362824407E+08, -4.632894570231438E+03, -2.869363608190351E+01, -9.656611319040318E+00,  5.467008272965757E-04,  4.907011590324979E+02,  1.471085066098015E+08,  4.131293793446713E-02,
2457763.500000000, A.D. 2017-Jan-10 00:00:00.0000, -4.958404971783108E+07,  1.385045907013335E+08, -4.597296873994172E+03, -2.851832135408269E+01, -1.015405499421907E+01,  2.779296358590422E-04,  4.907146155548712E+02,  1.471125407737199E+08,  5.214124940477247E-02,
